period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized,stbtc_apy_vol_cumulative,stbtc_apy_vol_rolling_8
1,79739.85023475386,1.291174153990194,418.0306672255341,323.760095362557,58.30296999747753,9442441430.351215,1.7723247019773896,0.5,0.6930811754943473,0.13469563660221132,3.555673779605063,0.291174153990194,20.469300165745974,0.0,
2,91698.8541267479,1.65642896590606,578.7595899520081,349.4019978305734,73.76301979476764,10908109722.132502,1.7723247019773891,0.5,0.6930811754943473,0.12229667456380251,2.9929338273212855,0.2828857832904237,18.872655715703377,0.7983222250212982,0.7983222250212982
3,134088.4519610956,2.1117383204887603,796.283193192432,377.0747471249813,92.11601274184869,12783177621.734028,1.7723247019773891,0.5,0.6930811754943473,0.11031156200498869,2.510252419086345,0.2748740597721,17.43348347579837,1.239922632484671,1.239922632484671
4,64909.098834456985,2.645068054975731,1076.3818437456573,406.9391869599867,88.37730756055316,11523830169.293129,1.7723247019773893,0.5,0.6930811754943473,0.07692319608746429,1.4334183413474082,0.2525548403949651,13.912861867447306,2.4214908617512134,2.4214908617512134
5,106203.04586294528,3.2446297598855933,1424.9404823066727,439.1688999230891,59.331023549469684,6684530925.321659,1.7723247019773893,0.5,0.6930811754943473,0.03820318577824874,0.5681524697891565,0.22667156097628793,10.607523218054661,3.5603592217296507,3.5603592217296507
6,121376.03745350274,4.030588279594241,1910.3022179127909,473.95121639789534,126.4065059504207,16010652147.48707,1.7723247019773893,0.5,0.6930811754943473,0.06148324847394963,1.0462455039808156,0.24223365310449507,12.503286600861411,3.5387452350621844,3.5387452350621844
7,200733.74607003236,4.895274395358663,2503.875595129806,511.48830339394164,55.239428206548645,7449380788.051016,1.7723247019773893,0.5,0.6930811754943473,0.02004154498488791,0.2688618050454499,0.2145309954236927,9.301565595880849,3.9550809174404264,3.9550809174404264
8,232216.96935684793,5.938923939128998,3278.276153482255,551.9983396121835,65.1850147531136,9970531888.066576,1.7723247019773896,0.5,0.6930811754943473,0.01804343104648624,0.239354852454297,0.2131953103098463,9.16643466907261,4.131733761509513,4.131733761509513
9,500735.4087070327,7.25888219573588,4324.237954001202,595.7167835760456,149.45357680384706,23191691414.983032,1.7723247019773893,0.5,0.6930811754943473,0.03159692955793748,0.4525145451829833,0.22225545740874852,10.115879262366953,4.085359548693225,3.48382967578533
10,248302.6512604549,8.773348446968843,5640.365908080093,642.8977421988542,70.02435411979972,9961539309.153255,1.7723247019773893,0.5,0.6930811754943473,0.011223379051487264,0.14331320911060463,0.208636290050638,8.717343631289925,4.143080455983748,2.800927020533526
11,822968.7126879233,10.638421610225938,7381.101252769689,693.8154477422455,139.39662691216512,19961934518.94694,1.7723247019773893,0.5,0.6930811754943473,0.017128884830295742,0.22606036468332213,0.21258396090508302,9.105128330445037,4.114633601779675,1.7362839749611398
12,1825466.9105172371,12.855400396812733,9625.684827708686,748.7658517501487,115.65886134902965,15896367857.225761,1.7723247019773893,0.5,0.6930811754943473,0.01086030076474612,0.1383968659146806,0.2083935820381264,8.693953229352566,4.095554191096046,1.2032946947972283
