period_num,Payments,Stablecoins,AMM
1,6.550406590556928,19.407196331230985,26.954512420046008
2,8.287361193159313,24.553353065949604,34.101971705458304
3,10.349341328342922,30.662478165496154,42.58689067885736
4,9.929293446377953,29.417982636689782,40.85841998090697
5,6.665909604600744,19.749402519413067,27.429800080980666
6,14.201918181916517,42.07668800801861,58.44000288085918
7,6.206214101930442,18.387441128227426,25.538181909670712
8,7.323612335063197,21.69800919614552,30.13620557991643
9,16.791283437543253,49.748321698919575,69.09507855867179
10,7.867317749776271,23.30887068753774,32.37351927199425
11,15.661373402870503,46.40068433070886,64.44556960955909
12,12.994407792086264,38.49914043391535,53.47117333569246
