period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized,stbtc_apy_vol_cumulative,stbtc_apy_vol_rolling_8
1,79739.85023475386,1.2977089653401006,420.1463783713562,323.760095362557,62.53439228912181,10337021214.495056,1.8089482521654334,0.5,0.7022370630413584,0.1463798932672969,4.151606976600051,0.2977089653401006,21.810124730237465,0.0,
2,91698.8541267479,1.6719390344610985,584.1788388916277,349.4019978305734,79.11647753923728,11941547367.747814,1.8089482521654332,0.5,0.7022370630413584,0.13223611028303303,3.438579674967296,0.2883775015170065,19.917876153645853,0.9461242882958061,0.9461242882958061
3,134088.4519610956,2.139232878076377,806.6506965420958,377.0747471249813,98.80146546835833,13994259772.666454,1.8089482521654334,0.5,0.7022370630413584,0.11876851114005064,2.8448801837004547,0.27949215490736923,18.25092174996862,1.454008540182261,1.454008540182261
4,64909.098834456985,2.6859736169838593,1093.0279198913865,406.9391869599867,94.79141835633946,12615601358.068516,1.8089482521654334,0.5,0.7022370630413584,0.08252152699233022,1.589634652021647,0.25557794315461235,14.350556825476,2.748639571293405,2.748639571293405
5,106203.04586294528,3.298665293022774,1448.6712079512859,439.1688999230891,63.63705831312168,7317825426.154445,1.8089482521654336,0.5,0.7022370630413584,0.04088486681551454,0.6174554726502532,0.22810785339243944,10.771670647514659,3.97556777787126,3.97556777787126
6,121376.03745350274,4.105170536433011,1945.6505692632263,473.95121639789534,135.58064076912058,17527506220.42447,1.8089482521654336,0.5,0.7022370630413584,0.06572212552882759,1.146484651826892,0.24449441570083819,12.801154769203935,3.9551554071538675,3.9551554071538675
7,200733.74607003236,4.988776697489863,2551.700929010321,511.48830339394164,59.24850952609353,8155137398.408098,1.8089482521654336,0.5,0.7022370630413584,0.021384363655256606,0.2890520670621721,0.21524225442400713,9.374193408119197,4.39442200703309,4.39442200703309
8,232216.96935684793,6.055517956651033,3342.6358575631325,551.9983396121835,69.91591138701439,10915143123.414648,1.8089482521654336,0.5,0.7022370630413584,0.019241104517416688,0.25696492113674707,0.21382822359996756,9.230262474630036,4.578229648275693,4.578229648275693
9,500735.4087070327,7.408031205351023,4413.088522282687,595.7167835760456,160.3003860912835,25388879340.688225,1.8089482521654334,0.5,0.7022370630413584,0.03367667826527905,0.4880468826518518,0.22335219850425303,10.236164311513654,4.525550770031308,3.8266434733135912
10,248302.6512604549,8.956448867755581,5758.080755199548,642.8977421988542,75.10647280077485,10905298584.829403,1.8089482521654334,0.5,0.7022370630413584,0.011951391550090753,0.15322971255392925,0.2090187823839207,8.754310440648132,4.5812289236030415,3.0483533685593733
11,822968.7126879233,10.865640488004251,7538.749220190941,693.8154477422455,149.51353852956083,21853134290.189667,1.8089482521654339,0.5,0.7022370630413585,0.018234191676994152,0.2421444849183223,0.21316390552086073,9.16327709719013,4.546410403569689,1.8682002957337978
12,1825466.9105172371,13.133925959250211,9834.235257701373,748.7658517501487,124.05297033112183,17402394601.609726,1.8089482521654339,0.5,0.7022370630413585,0.011555576529003752,0.1478284459208794,0.20875764054131585,8.729057883000543,4.521173074904031,1.2863980677786073
