period_num,Payments,Stablecoins,Lending
1,6.550406590556928,19.407196331230985,32.34536707568962
2,8.287361193159313,24.553353065949604,40.922305535658715
3,10.349341328342922,30.662478165496154,51.10419324800961
4,9.929293446377953,29.417982636689782,49.03003147748542
5,6.665909604600744,19.749402519413067,32.915711425455875
6,14.201918181916517,42.07668800801861,70.12789976048556
7,6.206214101930442,18.387441128227426,30.645772976390777
8,7.323612335063197,21.69800919614552,36.16339322190489
9,16.791283437543253,49.748321698919575,82.91397166738423
10,7.867317749776271,23.30887068753774,38.848165682485714
11,15.661373402870503,46.40068433070886,77.33456917858575
12,12.994407792086264,38.49914043391535,64.16531312302803
