period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized
1,79739.85023475386,1.2175917382756887,394.2076172967985,323.760095362557,73.7475134579573,13357403693.664103,1.9820944218895924,0.5,0.7455236054723982,0.1832683737593351,6.533539728121811,0.21759173827568867,9.617452125623501
2,91698.8541267479,1.4773734717339135,516.1972425657195,349.4019978305734,93.3029534387279,15430757624.290234,1.982094421889592,0.5,0.7455236054723979,0.1764541099582365,6.029102808145989,0.21335701063980506,9.182706952293485
3,134088.4519610956,1.7850784870189975,673.1080190909327,377.0747471249813,116.5176815120527,18083253705.176895,1.9820944218895922,0.5,0.745523605472398,0.16828195670008966,5.465052149934119,0.20827842192397505,8.682873013534275
4,64909.098834456985,2.1075432026114536,857.6419173537515,406.9391869599867,111.78858776803148,16301763988.039734,1.9820944218895922,0.5,0.745523605472398,0.12381524010967339,3.0582519633528813,0.18064455873363738,6.335505363135148
5,106203.04586294528,2.411537507605571,1059.0722743384067,439.1688999230891,75.04789992479289,9456026678.15355,1.9820944218895924,0.5,0.7455236054723982,0.06523699437137659,1.1347886567698544,0.14424107872020775,4.037446197618982
6,121376.03745350274,2.830292352825141,1341.4205033831367,473.95121639789534,159.89177736837982,22648882252.570164,1.9820944218895924,0.5,0.7455236054723982,0.11255425832342712,2.5962875049980294,0.17364641598933872,5.830418639306111
7,200733.74607003236,3.192095362377894,1632.7194411743383,511.48830339394164,69.8724348905135,10537993503.88154,1.9820944218895922,0.5,0.745523605472398,0.0388331246252262,0.579608532830056,0.1278323807049857,3.2357928336552124
8,232216.96935684793,3.5977996773999705,1985.9794481820331,551.9983396121835,82.45262210433489,14104447504.5796,1.9820944218895924,0.5,0.7455236054723982,0.037649074643016534,0.5581384235368123,0.12709655225333072,3.202749019749299
9,500735.4087070327,4.129559164742444,2460.0477032073504,595.7167835760456,189.04405156647118,32807276259.40805,1.9820944218895922,0.5,0.745523605472398,0.07096589194110703,1.2767097950245843,0.1478013049705873,4.228782416823007
10,248302.6512604549,4.626678919761075,2974.481431393429,642.8977421988542,88.57390966631925,14091726482.407698,1.9820944218895924,0.5,0.7455236054723982,0.026842544719408237,0.37418831609427117,0.12038082884559809,2.9119025416502153
11,822968.7126879233,5.233530937348858,3631.104610569592,693.8154477422455,176.3230006917918,28238419040.545223,1.982094421889592,0.5,0.7455236054723979,0.04419357196722393,0.6802433471537703,0.13116363337768,3.388389938388298
12,1825466.9105172371,5.873937695367167,4398.203961598902,748.7658517501487,146.2970657281886,22487214169.995953,1.982094421889592,0.5,0.7455236054723979,0.03003711751906885,0.4263775609867704,0.1223660977043386,2.9958987795467147
