period_num,Lending,AMM,InterestTokenisation,RoutersZaps
1,298.572619160212,165.8739225848985,149.28667749061046,99.52439034198956
2,377.7443587906958,209.85828741820492,188.87264486374215,125.91501899776239
3,471.7310145970118,262.07317340835294,235.86608858019218,157.24396217318042
4,452.58490594601926,251.4364306517352,226.29301066226301,150.86191415996646
5,303.83733623497733,168.7987697291118,151.9190425153419,101.27929927725239
6,647.3344593275592,359.6307869591335,323.6680273295138,215.7785519420535
7,282.88405824360717,157.15804252105053,141.4423777003734,94.2948603704873
8,333.8159374329682,185.45357279948576,166.90838005490588,111.27218481353364
9,765.3597384681623,425.2004834379803,382.6808123342498,255.1203843728051
10,358.59845245371434,199.22165705842616,179.2996681030678,119.53303842267674
11,713.857561648484,396.58812067420985,356.9296604618201,237.95296036828373
12,592.2951980587202,329.05337437349203,296.148328873998,197.43209760855902
