period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized
1,79739.85023475386,1.597419101170992,1607.1543188440476,1006.0943415950887,737.475134579573,133574036936.64102,1.9820944218895922,0.5,0.745523605472398,0.5498051212780052,191.0105537236008,0.597419101170992,275.07461713381963
2,91698.8541267479,2.4271674751528187,2456.841597982886,1012.2258241896551,933.0295343872788,154307576242.9023,1.9820944218895924,0.5,0.7455236054723982,0.43281191751949927,73.86351625693584,0.5194306073926234,150.41553903035282
3,134088.4519610956,3.55970262855273,3625.182198417609,1018.3946741336371,1165.1768151205267,180832537051.7689,1.9820944218895924,0.5,0.7455236054723982,0.3535705439596485,36.824285901476884,0.46660774956561446,98.03021131529734
4,64909.098834456985,4.927214314340487,5048.429300796827,1024.6011191564264,1117.8858776803147,163017639880.39734,1.9820944218895924,0.5,0.7455236054723982,0.22989473753862297,10.978855307427388,0.3841645857771403,48.45985081488484
5,106203.04586294528,6.428994095044128,6627.29891476812,1030.845388375276,750.4789992479289,94560266781.53549,1.9820944218895924,0.5,0.7455236054723982,0.11082651177512251,2.5298385076359335,0.30479286771284997,23.34999571161736
6,121376.03745350274,8.684385513565541,9006.816880448114,1037.1277123037567,1598.9177736837985,226488822525.70163,1.9820944218895924,0.5,0.7455236054723982,0.17986678416365845,6.2777259793250915,0.3508155996378981,35.91074477140091
7,200733.74607003236,11.024556583547914,11503.555077381205,1043.4483228602687,698.724348905135,105379935038.81541,1.9820944218895922,0.5,0.745523605472398,0.05783569298026997,0.9634443665621031,0.26946881461294914,16.51718994190478
8,232216.96935684793,13.962997094019626,14658.458420777632,1049.8074533766016,824.5262210433489,141044475045.796,1.9820944218895924,0.5,0.7455236054723982,0.05343598191896577,0.8676598395048702,0.2665359362259325,16.03766998261989
9,500735.4087070327,18.082185366797745,19098.500718084993,1056.2053386065488,1890.440515664712,328072762594.08057,1.9820944218895924,0.5,0.7455236054723982,0.09614708373233484,2.009026366302006,0.2950074575710091,21.24678372602078
10,248302.6512604549,22.67439824343655,24094.772767179136,1062.6422147345734,885.7390966631928,140917264824.077,1.9820944218895922,0.5,0.745523605472398,0.034575457759724114,0.5036475885460465,0.25396337795933466,14.115351020174527
11,822968.7126879233,28.73487869977997,30720.985223227017,1069.1183193845275,1763.230006917918,282384190405.4522,1.9820944218895924,0.5,0.7455236054723982,0.054556629553492345,0.8916416822257602,0.26728296783345584,16.158652399148696
12,1825466.9105172371,36.05024753787844,38776.8680533362,1075.633891628424,1462.970657281886,224872141699.95947,1.9820944218895924,0.5,0.7455236054723982,0.035502740266692125,0.5199000529635773,0.25458151101067594,14.205005994120535
