period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized
1,79739.85023475386,2.3258985642602115,736.9104938518049,316.82830247852655,647.7208858384962,103792867143.76698,1.7535949143046523,0.5,0.688398728576163,1.4863007809448228,55800.258858094036,1.3258985642602115,25065.243100129803
2,91698.8541267479,4.256838878177274,1424.340746982784,334.600577504749,819.4753805107445,119903733746.20123,1.753594914304652,0.5,0.688398728576163,0.7655282625904788,916.2676765256311,0.8301911113356006,1411.3986749425871
3,134088.4519610956,6.997668838290883,2472.7646740881373,353.3697765972143,1023.3692275992431,140514788082.5631,1.7535949143046523,0.5,0.688398728576163,0.49460501402885454,123.25595697120444,0.6438650929835517,388.3983269529048
4,64909.098834456985,10.438337431927753,3895.502160227261,373.19182155503853,981.8338232789746,126671834034.8007,1.753594914304652,0.5,0.688398728576163,0.2733350094737839,17.168210726019435,0.49168782821069046,120.37670739474191
5,106203.04586294528,14.444701063654637,5693.028944644003,394.12577107384016,659.1421180229729,73477461879.74039,1.7535949143046519,0.5,0.688398728576163,0.11648115630143616,2.7516021029208857,0.38381242777921853,48.30905952702533
6,121376.03745350274,20.518539984461995,8540.513904343137,416.2339967078838,1404.3218383814408,175991718189.28427,1.7535949143046525,0.5,0.6883987285761631,0.16981002159896375,5.567257588244595,0.4204890702854478,66.49238226092409
7,200733.74607003236,27.44811817832859,12065.70880526145,439.5823687027048,613.6862559952898,81884817199.09914,1.753594914304652,0.5,0.688398728576163,0.04946550560113106,0.7849169853536182,0.3377227716550073,31.839265883189526
8,232216.96935684793,36.56415712805827,16974.56084133903,464.24045225189246,724.1774390071193,109597724194.96959,1.7535949143046523,0.5,0.688398728576163,0.04131732634378295,0.6255380338707492,0.33211890485545803,30.225967256538603
9,500735.4087070327,49.362082600337516,24201.326501554897,490.2817147627685,1660.3648692906688,254926881318.76947,1.753594914304652,0.5,0.688398728576163,0.0673356486612975,1.1858088476082265,0.35001286717637714,35.64838946680386
10,248302.6512604549,65.10472315218655,33710.16735455333,517.783744748497,777.9404150887606,109498876290.50388,1.7535949143046523,0.5,0.688398728576163,0.022128257830028784,0.3003634075460069,0.31892172539214125,26.70947290489495
11,822968.7126879233,86.29324828528843,47187.606052883355,546.8284829988033,1548.6364874782937,219424863023.01276,1.7535949143046523,0.5,0.688398728576163,0.031624861953190926,0.4529865696944051,0.3254529641969648,28.401659827388382
12,1825466.9105172371,113.61325846083331,65611.93701300799,577.5024667180622,1284.9201358233802,174735486499.29102,1.753594914304652,0.5,0.688398728576163,0.01874512105639393,0.24964455761807747,0.3165949911309862,26.128537545185925
