period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized,stbtc_apy_vol_cumulative
1,79739.85023475386,1.3011647591929874,421.2652265187201,323.760095362557,64.77208858384962,10379286714.3767,1.7535949143046523,0.5,0.688398728576163,0.14863007809448228,4.274268254394887,0.30116475919298735,22.54981543428425,0.0
2,91698.8541267479,1.680141199252147,587.0446916561557,349.4019978305734,81.94753805107445,11990373374.620127,1.7535949143046525,0.5,0.6883987285761631,0.13391226584375945,3.5180750262391696,0.2912593792458764,20.486311574975726,1.03175192965426
3,134088.4519610956,2.153772781068447,812.1333267860523,377.0747471249813,102.33692275992432,14051478808.256313,1.753594914304652,0.5,0.688398728576163,0.12000552686300776,2.896206704439973,0.2818998677177367,18.690159431997472,1.5769575191239775
4,64909.098834456985,2.70760564003202,1101.8308377629046,406.9391869599867,98.18338232789746,12667183403.480072,1.753594914304652,0.5,0.688398728576163,0.08322440827457582,1.6098842636548056,0.2571454444181558,14.582111628770347,2.9325873052313627
5,106203.04586294528,3.3272408177401913,1461.2206897061592,439.1688999230891,65.9142118022973,7347746187.97404,1.7535949143046516,0.5,0.6883987285761629,0.04118169327328753,0.6229991093913532,0.22884986223504966,10.857302552636495,4.206003398148209
6,121376.03745350274,4.144611752241256,1964.3437814717556,473.95121639789534,140.43218383814408,17599171818.928425,1.7535949143046523,0.5,0.688398728576163,0.06615929919853016,1.1570747290477912,0.2456602870892315,12.957107613695475,4.186248229976715
7,200733.74607003236,5.038223370642923,2576.9923239698546,511.48830339394164,61.36862559952899,8188481719.909912,1.7535949143046523,0.5,0.688398728576163,0.021506461463446112,0.2909024257673567,0.21560804046806892,9.411726898540124,4.6370857993136445
8,232216.96935684793,6.117176184786686,3376.671097117442,551.9983396121835,72.41774390071193,10959772419.496956,1.753594914304652,0.5,0.688398728576163,0.0193451421503681,0.25850542136212096,0.21415342964559336,9.263201402189573,4.824230007023267
9,500735.4087070327,7.486905437978945,4460.075226450822,595.7167835760456,166.03648692906683,25492688131.87694,1.753594914304652,0.5,0.688398728576163,0.033849700847913805,0.49103856715882555,0.2239152857161042,10.298383339069904,4.767931923764231
10,248302.6512604549,9.05327757094757,5820.33170986172,642.8977421988542,77.79404150887606,10949887629.050388,1.7535949143046516,0.5,0.6883987285761629,0.012007268161736244,0.1539940750605877,0.20921489471776478,8.773314097035303,4.822115659252039
11,822968.7126879233,10.985800284368883,7622.117943106285,693.8154477422455,154.8636487478294,21942486302.301277,1.753594914304652,0.5,0.688398728576163,0.018316471331013547,0.2433494963485745,0.21346111375430232,9.193195722202008,4.783609338283496
12,1825466.9105172371,13.28121818774843,9944.52264862902,748.7658517501487,128.49201358233802,17473548649.929104,1.753594914304652,0.5,0.688398728576163,0.01160487668158865,0.14849992604439777,0.20894407725994935,8.747080286190975,4.754794604705093
