period_num,LiquidStaking,Lending,AMM,Perpetuals,RoutersZaps,DEXAggregator
1,129.38146830275855,194.07220245413777,107.81804968018407,90.56731478212448,129.38170744458645,86.25439191578167
2,163.6892221426349,245.53383321395233,136.40788682183324,114.58281856519194,163.68952469709114,109.12624894657533
3,204.41677299203846,306.6251594880577,170.34756271542946,143.09219449414226,204.41715082513457,136.27797460572432
4,196.1201259099417,294.18018886491257,163.4336799236279,137.28452313457683,196.1204884079564,130.74687143929935
5,131.66284570182353,197.49426855273526,109.71920032392268,92.164284021602,131.66308906042815,87.77531158741722
6,280.5115990419423,420.7673985629135,233.7600115234368,196.35874150863236,280.5121175246696,187.00790552220397
7,122.58309190556312,183.87463785834467,102.15272763868286,85.80843622517865,122.58331848163351,81.72213679573221
8,144.6535728876196,216.98035933142938,120.54482231966576,101.25782186530269,144.65384025759374,96.43580438173778
9,331.65588666953704,497.48383000430556,276.3803142346873,232.15985628680747,331.6564996846467,221.10412878472792
10,155.3926627299429,233.08899409491437,129.49407708797702,108.77520857440432,155.39294994947983,103.59520422647424
11,309.33827671434307,464.0074150715145,257.7822784382364,216.5374798173511,309.33884847876885,206.22570839770395
12,256.6612524921121,384.99187873816817,213.88469334276985,179.66344602329602,256.66172689112676,171.10765979441294
