period_num,AMM,Perpetuals,Lending,RoutersZaps,DEXAggregator
1,154.0257852574058,258.7637565203556,92.41533450197038,184.83101063512348,123.2205598796881
2,194.86840974547604,327.37948161483405,116.92087295902489,233.8421781387016,155.89464135225046
3,243.35366102204208,408.83484141183504,146.01198070859888,292.02450117876367,194.68282086532048
4,233.47668560518272,392.24149467021954,140.08580422138692,280.1721262970806,186.78124491328484
5,156.74171474846096,263.3265257760057,94.0448897870168,188.09012722918305,125.39330226773887
6,333.9428736049097,561.0249757389496,200.36542788710167,400.73159646381373,267.1541507460057
7,145.9324680552612,245.16696064336753,87.55935136111651,175.11902640233356,116.74590970818885
8,172.20688902809394,289.30806247229333,103.32398063401399,206.6483432251339,137.76543483105397
9,394.8290203352675,663.3138751051642,236.89706190681216,473.79499954949523,315.8630411210398
10,184.99153869711003,310.7863102125837,110.99475909281635,221.98992849925682,147.99314889496318
11,368.2603977689092,618.6785137638603,220.95591193881648,441.9126406839555,294.6081548538628
12,305.5495619182426,513.3241314951315,183.32946606579435,366.65960984446673,244.4395139920185
13,201.3315789281214,338.237624190981,120.798768734455,241.59798402495457,161.0651738312882
14,95.1347513205114,159.82665231139765,57.08076638826356,114.16174378663531,76.10775885438748
15,85.90695512907172,144.3239285115438,51.544096860348255,103.08838426343345,68.72552599470998
16,473.11486185579247,794.8343111175768,283.8684973635237,567.7380441019268,378.4916796096581
17,836.5171146458715,1405.3511275244541,501.90952662521346,1003.8209086562005,669.2133206355425
18,296.0731049731045,497.40365692310223,177.64360030627304,355.28785730652015,236.85835263968875
19,97.83465581278293,164.36249952359535,58.70070668825726,117.40163037504577,78.2676812505201
20,90.41993869013585,151.90575370674705,54.25188299304437,108.50396653868158,72.3359108415901
21,463.02422798433645,777.8820175656507,277.81412599311267,555.6292789799483,370.41917698872453
22,433.2272518335151,727.8230130369706,259.9359667386512,519.8728943809471,346.5816092860831
23,1561.547402728437,2623.4040699051498,936.9270562241323,1873.8575759805894,1249.237229476285
24,188.3096275084953,316.3607088359528,112.98560943582198,225.97163654483197,150.64761847215865
25,167.0115452772733,280.57987022104004,100.20677899285747,200.4139284194812,133.6091621350654
26,126.35378325046251,212.27471458631248,75.81215784854768,151.62459595141993,101.08297054950509
27,196.69678074218666,330.4511500801566,118.0178939349111,236.0362241458245,157.3573373385489
28,609.8758319961955,1024.5931292255816,365.92495811272573,731.8512689379305,487.9003950544606
29,607.3793211079362,1020.3989838455702,364.4270537946875,728.8554547645605,485.90318745131185
30,114.24744106406848,191.93602534258048,68.54836327752065,137.0969799573424,91.39790217079457
31,81.83862723750032,137.48912610349092,49.103103734846954,98.20638898882702,65.47086548617364
32,333.115113675537,559.6343367075461,199.8687726638709,399.73828418137,266.491943169704
33,54.66443970245081,91.83641389555272,32.79861532289693,65.59735189222773,43.73152751267387
34,974.3546686580333,1636.918609593496,584.6119367423199,1169.22603461589,779.4833027001766
35,55.66885650134203,93.52383696928607,33.40126451110788,66.8026524964591,44.53506050622496
36,438.390254527768,736.496872221372,263.0337637745602,526.0684999043718,350.7120091511641
37,87.95063845797745,147.75732230623797,52.77030504452527,105.54080516470354,70.36047175125137
38,35.86745845996116,60.25743204247749,21.520443254182098,43.04096606285071,28.693950857071634
39,31.937475345118035,53.655049252096745,19.16245687197756,38.32498458168828,25.5499661085478
40,97.11934654259154,163.1607779188703,58.2715217607685,116.54325893350305,77.69543415168002
41,38.36011507160876,64.44510222683851,23.016035009672816,46.03215510257673,30.68807504064079
42,1286.8222975039218,2161.8651131678557,772.0922368269571,1544.187327842404,1029.4572671654394
43,110.35468488087882,185.39618390306694,66.21271302128027,132.4256708106781,88.28369895107956
44,28.66808349642432,48.162461664302974,17.200824663382683,34.40171291294514,22.9344540799035
45,1175.8715477868138,1975.467538647662,705.5218854327711,1411.0463789638352,940.6967166097925
46,104.6771053872346,175.85783423477542,62.80617036227162,125.61257289971611,83.74163787475312
47,23374.16683061861,39268.66663602061,14024.479360689495,28049.01056558317,18699.32309565405
48,1698.5809895306513,2853.620884778972,1019.1470867285543,2038.2979409317002,1358.864038129603
49,262.43125449895894,440.88525261542196,157.45851986900942,314.91762181393364,209.94488718398418
50,385.14365476003,647.0424334414647,231.0858511545761,462.17255656275694,308.11475295730304
51,25.639938970870958,43.075170264299786,15.383940634636145,30.767938138988363,20.511939802753552
52,20.206403227761,33.946814789759834,12.123824009431178,24.247692836925914,16.165113618596088
