period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,stbtc_return_period,stbtc_apy_annualized
40,0.0629451011972436,0.06253379608291619,797375.8025110892,12751117.834807519,498.99914825201984,116156894514.2704,-0.06697569396859981,-0.972808460549045
41,0.008309801073476517,0.05833497701430254,748369.357485327,12828827.502612064,197.0942497969516,44432662186.53228,-0.06714479739957346,-0.973063549035599
42,0.005148389812877038,0.05466704883683097,705588.18753679,12907010.759677451,6611.692245319651,1575737647525.0847,-0.0628769970471107,-0.965847451675912
43,0.006220906421784294,0.05101155742669603,662419.2760379516,12985670.49221841,567.0023092363899,124665039259.84358,-0.06686827783672333,-0.9726451969977462
44,0.0032526700005757387,0.04758576759455717,621698.9934849504,13064809.604039254,147.29659698091086,32908721748.65985,-0.06715713075535379,-0.9730820615040041
45,0.0033204514138285373,0.044614602400507894,586433.5635883448,13144431.016641064,6041.62735528788,1285483390608.3127,-0.06243810585056353,-0.9650057021843852
46,0.0009429565290797148,0.04163381805598976,550587.9951994495,13224537.669329554,537.830908971468,108766533985.30061,-0.066811854956354,-0.9725590541894358
47,0.00025001316977264797,0.043346372170117324,576729.2259553301,13305132.519323567,120096.45611097896,25274487885793.383,0.041133727198031655,7.1346488042143985
48,0.00010233511672614022,0.040756545183284185,545576.0208348067,13386218.541864248,8727.308174804892,2191554965806.6482,-0.05974726043206324,-0.9593819014576076
49,0.00014566523246463387,0.038065007747914194,512651.8630171655,13467798.73032488,1348.3716389325205,350657070503.6572,-0.06603939129938552,-0.9713526076390604
50,0.0001846381116967473,0.03557748620617476,482070.5299122511,13549876.096321382,1978.867882885126,492389792417.8031,-0.06534929818517476,-0.9702309144866756
51,7.577705835382965e-05,0.03318910451886426,452448.9296963465,13632453.669823492,131.73799210116653,34045687083.41967,-0.06713182807435059,-0.9730440685025556
52,6.360493632801524e-05,0.03096033662536437,424637.5650940928,13715534.499266617,103.82048849008403,25927059164.410606,-0.06715360133422965,-0.9730767650887724
