period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized,stbtc_apy_vol_cumulative,stbtc_apy_vol_rolling_8
1,79739.85023475386,1.2828487693414052,415.33523989771226,323.760095362557,52.912115341833925,7933186198.201841,1.6407491686138629,0.5,0.6601872921534657,0.11643968716545729,2.7499303084365754,0.28284876934140524,18.86577639320736,0.0,
2,91698.8541267479,1.6366690555221712,571.8554377869243,349.4019978305734,66.94268596456723,9164585889.612888,1.6407491686138627,0.5,0.6601872921534657,0.1064073219197861,2.3649645549867055,0.275808259427502,17.596230161740696,0.6347731157333314,0.6347731157333314
3,134088.4519610956,2.076710106909428,783.0749384147654,377.0747471249813,83.59871017269643,10739947822.385487,1.640749168613863,0.5,0.6601872921534657,0.09651181478665796,2.0210630289868456,0.26886379375387137,16.417269139700817,0.9998269014514837,0.9998269014514837
4,64909.098834456985,2.592954149958808,1055.1746536087608,406.9391869599867,80.2056960639747,9681891185.006567,1.6407491686138629,0.5,0.6601872921534657,0.06761904729954887,1.1927835309267012,0.248587437087046,13.355804338543361,2.041911702757641,2.041911702757641
5,106203.04586294528,3.1757882013491234,1394.7074107752203,439.1688999230891,53.84511220499448,5616092921.451429,1.6407491686138629,0.5,0.6601872921534657,0.03368907573806764,0.48826106069908004,0.22477607303606773,10.39410774364452,3.0685521757737497,3.0685521757737497
6,121376.03745350274,3.93557008504967,1865.2682290284597,473.95121639789534,114.71860907079432,13451551230.424809,1.6407491686138629,0.5,0.6601872921534657,0.054302262465188655,0.886173599687089,0.23924198829688326,12.118175551056067,3.0456063587699838,3.0456063587699838
7,200733.74607003236,4.776151961808902,2442.9458636972813,511.48830339394164,50.131837139828576,6258691175.245991,1.640749168613863,0.5,0.6601872921534657,0.01774350803651468,0.23498046936711914,0.21358579788793763,9.205771138909295,3.430844715938566,3.430844715938566
8,232216.96935684793,5.7903825365325154,3196.281545885332,551.9983396121835,59.157827111125144,8376868053.308012,1.640749168613863,0.5,0.6601872921534657,0.01598694685402007,0.20964389890602897,0.21235307897102307,9.082063702296189,3.5968757675630227,3.5968757675630227
9,500735.4087070327,7.068865558905243,4211.041854282517,595.7167835760456,135.6346836951346,19484791894.489532,1.640749168613863,0.5,0.6601872921534657,0.028015146120671307,0.393138068827974,0.2207942246141008,9.95745239286981,3.5576016535650714,3.0657327459519683
10,248302.6512604549,8.54007753052128,5490.396562575297,642.8977421988542,63.54970770930826,8369312824.774417,1.6407491686138629,0.5,0.6601872921534657,0.009963023617797962,0.12633008924909195,0.20812561214474212,8.6681882300733,3.616497379258455,2.4939020543287422
11,822968.7126879233,10.348943543349904,7180.256898188534,693.8154477422455,126.50762734313845,16771270924.285568,1.640749168613863,0.5,0.6601872921534657,0.015211784245553922,0.19861526168970034,0.21180908561590206,9.02791056218659,3.595086829343384,1.5687588352985269
12,1825466.9105172371,12.500557338972152,9359.990463267057,748.7658517501487,104.96472156169408,13355533843.305195,1.6407491686138627,0.5,0.6601872921534657,0.00965096044362141,0.12216095321329612,0.20790661255513831,8.647178299941496,3.5827482719680974,1.0963220820754458
