period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized,stbtc_apy_vol_cumulative,stbtc_apy_vol_rolling_8
1,79739.85023475386,1.2910486576210698,417.9900365090988,323.760095362557,58.221708564606914,9660758841.889431,1.815833251321567,0.5,0.7039583128303917,0.13661885243747815,3.64920035088387,0.2910486576210698,20.44427290484835,0.0,
2,91698.8541267479,1.6561311061539878,578.6555171595608,349.4019978305734,73.66021047507695,11160314652.062603,1.815833251321567,0.5,0.7039583128303917,0.12405491270038434,3.0686500440461764,0.2827797747031715,18.852959044283608,0.7956569302823704,0.7956569302823704
3,134088.4519610956,2.1112103072129114,796.0840927199627,377.0747471249813,91.98762341303652,13078735743.030884,1.815833251321567,0.5,0.7039583128303917,0.11190673943105721,2.571250800515954,0.27478452603655756,17.417954588592334,1.2360384811515064,1.2360384811515064
4,64909.098834456985,2.644282492970322,1076.0621677818697,406.9391869599867,88.25412915907671,11790271088.426527,1.815833251321567,0.5,0.7039583128303917,0.07804103665841433,1.4639024873785802,0.2524960132755032,13.904459321525625,2.4154655392961297,2.4154655392961297
5,106203.04586294528,3.2435920461935988,1424.4847507261243,439.1688999230891,59.248329237541505,6839083060.987815,1.8158332513215671,0.5,0.7039583128303918,0.038760171239970644,0.5782778865011822,0.22664354312238122,10.604342151027353,3.5526417552266465,3.5526417552266465
6,121376.03745350274,4.029155980797356,1909.6233781557617,473.95121639789534,126.23032326541946,16380832270.886375,1.8158332513215671,0.5,0.7039583128303918,0.062381071716396556,1.0671114471533034,0.24218949960912228,12.497528256508765,3.53100568366139,3.53100568366139
7,200733.74607003236,4.893478750650054,2502.9571438643015,511.48830339394164,55.162436672717476,7621616913.973092,1.815833251321567,0.5,0.7039583128303917,0.020334929021052293,0.2732481352102838,0.21451707850775548,9.300149177645439,3.946887949583798,3.946887949583798
8,232216.96935684793,5.936684834573848,3277.0401714855943,551.9983396121835,65.09416127342362,10201059207.671139,1.815833251321567,0.5,0.7039583128303917,0.0183077748883874,0.24322208358442454,0.21318291895825925,9.16518868216128,4.123392926936333,4.123392926936333
9,500735.4087070327,7.256017895886513,4322.53164250774,595.7167835760456,149.24527160431353,23727903376.29184,1.8158332513215667,0.5,0.7039583128303917,0.03206016530119547,0.4603608764756628,0.22223397368665787,10.113534868248884,4.0771332259586375,3.4773729038248056
10,248302.6512604549,8.769832134597534,5638.105278795712,642.8977421988542,69.92675567238167,10191858712.556705,1.815833251321567,0.5,0.7039583128303917,0.011388122752127356,0.14555037074144583,0.2086287906717006,8.716620122761832,4.134883550664362,2.7962304486387617
11,822968.7126879233,10.634058034503427,7378.073736526018,693.8154477422455,139.2023388743395,20423471707.778595,1.8158332513215674,0.5,0.7039583128303919,0.01738042104048038,0.22970377778730033,0.21257258648673627,9.103990917802104,4.10655157809385,1.733753917959669
12,1825466.9105172371,12.85005151297775,9621.679766148072,748.7658517501487,115.49765850125338,16263905629.003046,1.815833251321567,0.5,0.7039583128303917,0.011019886723534692,0.14055538355989006,0.2083864382989331,8.693265551201826,4.087582829498432,1.2016912283875787
