period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,stbtc_return_period,stbtc_apy_annualized
1,37049.476095882324,0.9327727784342227,9384574.143766008,10060943.415950887,813.2564467945433,153533797689.19824,-0.06722722156577732,-0.9731870316660123
2,33227.774888235195,0.8700781806822158,8807156.035504915,10122258.241896551,1028.905583810287,177365517552.0823,-0.06721315115697069,-0.9731659916457079
3,39216.15323459913,0.8116131614890992,8265425.211172621,10183946.74133637,1284.9078051865604,207854062032.28067,-0.06719513313996095,-0.9731390249703128
4,13083.617753530658,0.7570780189999858,7757029.855561158,10246011.191564264,1232.7573557071546,187377112462.65262,-0.0671935166613804,-0.9731366043679153
5,17557.694677028452,0.7061913104659358,7279740.557045025,10308453.883752758,827.5965598084053,108690260490.96191,-0.06721461627067926,-0.9731681832412952
6,15635.41907785353,0.6587724938942867,6832312.09521222,10371277.123037565,1763.2190244407807,260332695290.32962,-0.067147267134118,-0.9730672571270536
7,21240.77515751766,0.6144953461878981,6411941.383852025,10434483.228602685,770.5237161702677,121126694961.1233,-0.06721159143219135,-0.9731636583328749
8,19179.79302370348,0.5732030013304883,6017527.830945846,10498074.533766015,909.2527101905891,162120531755.22577,-0.06719716449208657,-0.9731420665234612
