period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized,stbtc_apy_vol_cumulative,stbtc_apy_vol_rolling_8
1,79739.85023475386,1.296876426875222,419.87683563857405,323.760095362557,61.99530682355744,10717237504.39399,1.8917934217517887,0.5,0.7229483554379472,0.14939801704320602,4.316738771752063,0.296876426875222,21.63513841891567,0.0,
2,91698.8541267479,1.6699630434227097,583.4884236751194,349.4019978305734,78.43444415621724,12380781334.826332,1.8917934217517884,0.5,0.7229483554379471,0.13504925158871364,3.5727396979334847,0.28768092997605543,19.782565993042425,0.9262862129366232,0.9262862129366232
3,134088.4519610956,2.1357300567184443,805.3298710643293,377.0747471249813,97.94973521144308,14508996602.574862,1.8917934217517889,0.5,0.7229483554379472,0.12136076246496869,2.9531588644365354,0.27890857533057223,18.145820939090417,1.4254159408458187,1.4254159408458187
4,64909.098834456985,2.6807622264821673,1090.907200877697,406.9391869599867,93.97425720668163,13079628377.42712,1.8917934217517884,0.5,0.7229483554379471,0.08436112597100753,1.6429398441797223,0.2551971247720166,14.294779811195871,2.705474483294056,2.705474483294056
5,106203.04586294528,3.291781137169128,1445.647900798141,439.1688999230891,63.08846717867415,7586989663.696976,1.8917934217517884,0.5,0.7229483554379471,0.04180896739633561,0.6347716429715236,0.227927305395067,10.750920347155521,3.921192653507601,3.921192653507601
6,121376.03745350274,4.0956687169785555,1941.1471703747939,473.95121639789534,134.41185108115795,18172202912.829956,1.8917934217517887,0.5,0.7229483554379472,0.06721749233464412,1.1829069306313533,0.24421051895957957,12.76342194580375,3.900623064555109,3.900623064555109
7,200733.74607003236,4.976864454134888,2545.6079558670694,511.48830339394164,58.737750419421516,8455099642.93661,1.8917934217517889,0.5,0.7229483554379472,0.021875909624949466,0.2965161506979519,0.21515307952114004,9.36506195067615,4.337043661251053,4.337043661251053
8,232216.96935684793,6.040663816391386,3334.436396803441,551.9983396121835,69.31319262281555,11316623892.002134,1.8917934217517887,0.5,0.7229483554379472,0.019684829512465144,0.26354727934876965,0.21374891200275115,9.222244006257984,4.520000381487123,4.520000381487123
9,500735.4087070327,7.38902954166796,4401.768912310819,595.7167835760456,158.91849678041223,26322733040.637287,1.891793421751789,0.5,0.7229483554379472,0.03445555776868588,0.5015577752809461,0.22321482642648882,10.22103294734583,4.468163106169437,3.782246140040985
10,248302.6512604549,8.933121776110825,5743.083820649068,642.8977421988542,74.45900815972571,11306417251.621895,1.8917934217517887,0.5,0.7229483554379472,0.012229178443707753,0.15703427716956275,0.2089709109613751,8.749676755413601,4.524157932473857,3.016519569291126
11,822968.7126879233,10.836692681316647,7518.664784732825,693.8154477422455,148.22463857265814,22656936224.041553,1.8917934217517887,0.5,0.7229483554379472,0.01865874886001168,0.24837376797786237,0.21309134174084554,9.15598466225354,4.4901943874592956,1.8513766049613802
12,1825466.9105172371,13.098441653466153,9807.665821257211,748.7658517501487,122.98355635238826,18042489438.74744,1.8917934217517887,0.5,0.7229483554379472,0.011825338987237297,0.15150708423136727,0.20871210789699224,8.724660992005399,4.46578528702674,1.2758537830184433
