period_num,LiquidStaking,Lending,AMM,Perpetuals,RoutersZaps,DEXAggregator
1,12.938146830275853,19.40722024541378,10.781804968018404,9.056731478212447,12.938170744458645,8.625439191578167
2,16.368922214263492,24.55338332139523,13.640788682183327,11.458281856519195,16.368952469709114,10.912624894657535
3,20.441677299203846,30.66251594880577,17.034756271542946,14.309219449414227,20.44171508251346,13.627797460572436
4,19.612012590994173,29.418018886491257,16.34336799236279,13.728452313457685,19.612048840795644,13.074687143929937
5,13.166284570182354,19.749426855273526,10.97192003239227,9.2164284021602,13.166308906042815,8.777531158741724
6,28.05115990419423,42.07673985629135,23.376001152343676,19.635874150863234,28.05121175246696,18.700790552220393
7,12.258309190556313,18.387463785834466,10.215272763868287,8.580843622517865,12.258331848163351,8.172213679573222
8,14.465357288761957,21.698035933142936,12.054482231966574,10.125782186530268,14.465384025759372,9.643580438173778
9,33.1655886669537,49.748383000430536,27.638031423468725,23.215985628680745,33.16564996846466,22.110412878472786
10,15.539266272994292,23.308899409491435,12.949407708797702,10.87752085744043,15.53929499494798,10.359520422647424
11,30.933827671434305,46.40074150715146,25.778227843823643,21.653747981735112,30.93388484787689,20.622570839770397
12,25.666125249211216,38.49918787381682,21.388469334276987,17.966344602329606,25.666172689112678,17.110765979441297
