scenario_group_id,final_exchange_rate,final_apy,cum_fees_btc,mean_weighted_gas,weighted_k
101,16.18139835257317,5.917645318580298,12145.588876315385,140868420966.83353,0.5
102,17.813239028779645,6.0276037425114835,13828.59498117561,181287637418.92728,0.5
103,17.37293516651802,5.999792590991645,13374.485643796843,181625471407.0212,0.5
