period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,weighted_mbar,weighted_k,weighted_s_eff,weighted_fee_return_period,weighted_fee_apy_annualized,stbtc_return_period,stbtc_apy_annualized
1,79739.85023475386,2.2871768953456897,724.6423732204814,316.82830247852655,713.2576095777106,133822955452.24744,2.0532123729445653,0.5,0.7633030932361413,1.8147724655496082,247353.33652026363,1.2871768953456897,20491.59997352828
2,91698.8541267479,4.0051412454648885,1340.1225737206414,334.600577504749,902.3903100704053,154595132220.89093,2.0532123729445653,0.5,0.7633030932361413,0.9505341399259936,3031.792331668891,0.7511287621063265,830.413316050692
3,134088.4519610956,6.246718217588686,2207.4014210150626,353.3697765972143,1126.9142387587372,181169522949.09277,2.0532123729445657,0.5,0.7633030932361414,0.6418645138319311,382.74947729803824,0.5596748865378931,206.2091607904614
4,64909.098834456985,8.704461145129613,3248.433710405977,373.19182155503853,1081.176261419984,163321427277.01495,2.0532123729445653,0.5,0.7633030932361413,0.3738627586349322,44.21892306888086,0.3934454607894331,52.58949963630172
5,106203.04586294528,11.031528042345164,4347.809495811978,394.12577107384016,725.8344477566834,94736482173.25693,2.0532123729445657,0.5,0.7633030932361414,0.17055348162877615,5.617518019164472,0.26734186739607746,16.168224646515696
6,121376.03745350274,14.671352137966888,6106.715537494714,416.2339967078838,1546.41182555826,226910890038.20245,2.0532123729445653,0.5,0.7633030932361413,0.27148864985979,16.854588806495478,0.3299474090669985,29.620594111356496
7,200733.74607003236,17.810246303456598,7829.070257252044,439.5823687027048,675.7793388355184,105576313149.45831,2.0532123729445653,0.5,0.7633030932361413,0.08446839491885733,1.6460789424377227,0.21394716287715587,9.242298141340441
8,232216.96935684793,21.546460672712985,10002.738647127891,464.24045225189246,797.4500751008934,141307314907.25452,2.0532123729445657,0.5,0.7633030932361414,0.0777481985759512,1.4558829690593171,0.20977892756773753,8.82815927839139
9,500735.4087070327,26.89200676067323,13184.659188034835,490.2817147627685,1828.3614186131974,328684134286.87854,2.0532123729445653,0.5,0.7633030932361413,0.13952118270947658,3.79367772021459,0.24809392916814343,13.287862068955901
10,248302.6512604549,32.0637811265425,16602.10466249736,517.783744748497,856.6528160378851,141179867626.1467,2.0532123729445653,0.5,0.7633030932361413,0.04959443660891701,0.7875501738530384,0.19231641624575424,7.2546427485505
11,822968.7126879233,38.803142263091424,21218.663419313034,546.8284829988033,1705.3283031527976,282910420315.98334,2.0532123729445653,0.5,0.7633030932361413,0.07840465984532986,1.4738938996067072,0.2101861009452206,8.86792701584033
12,1825466.9105172371,46.29703394868256,26736.65130709405,577.5024667180622,1414.9289989147692,225291196487.8277,2.0532123729445657,0.5,0.7633030932361414,0.05089951521631359,0.8144052771542216,0.1931258977631598,7.32214484377867
