period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,stbtc_return_period,stbtc_apy_annualized
1,37049.476095882324,0.9327727784342227,9384574.143766008,10060943.415950887,813.2564467945433,153533797689.19824,-0.06722722156577732,-0.9731870316660123
2,33227.774888235195,0.8700781806822158,8807156.035504915,10122258.241896551,1028.905583810287,177365517552.0823,-0.06721315115697069,-0.9731659916457079
3,39216.15323459913,0.8116131614890992,8265425.211172621,10183946.74133637,1284.9078051865604,207854062032.28067,-0.06719513313996095,-0.9731390249703128
4,13083.617753530658,0.7570780189999858,7757029.855561158,10246011.191564264,1232.7573557071546,187377112462.65262,-0.0671935166613804,-0.9731366043679153
5,17557.694677028452,0.7061913104659358,7279740.557045025,10308453.883752758,827.5965598084053,108690260490.96191,-0.06721461627067926,-0.9731681832412952
6,15635.41907785353,0.6587724938942867,6832312.09521222,10371277.123037565,1763.2190244407807,260332695290.32962,-0.067147267134118,-0.9730672571270536
7,21240.77515751766,0.6144953461878981,6411941.383852025,10434483.228602685,770.5237161702677,121126694961.1233,-0.06721159143219135,-0.9731636583328749
8,19179.79302370348,0.5732030013304883,6017527.830945846,10498074.533766015,909.2527101905891,162120531755.22577,-0.06719716449208657,-0.9731420665234612
9,35285.20585725621,0.5347436773945833,5647991.268502569,10562053.386065487,2084.6979980177794,377096165651.925,-0.06709546852796522,-0.9729893810649198
10,12100.644014820828,0.49881869206200397,5300657.99683771,10626422.147345733,976.7556853967301,161974312707.7722,-0.06718169255897632,-0.9731188918107907
11,36384.34001144241,0.46535527229261214,4975198.466302066,10691183.193845274,1944.415619009404,324580421125.58014,-0.06708533641965497,-0.9729741222507492
12,69134.25494120321,0.43412691535380665,4669616.234226584,10756338.916284239,1613.3022833156535,258474436361.2741,-0.06710648572854105,-0.9730059632269308
13,31065.070692615005,0.4049733379805057,4382577.613092809,10821891.71995262,1063.0311297098003,203783003772.90906,-0.06715450330818862,-0.973078118730508
14,38252.81336511184,0.3777548055961624,4112935.4029493122,10887844.024799073,502.3116726611954,95448527454.4235,-0.06721067742403708,-0.9731622909049729
15,39647.62381125627,0.3523648359353731,3859874.2746335897,10954198.265520245,453.58889075910724,93977739589.48325,-0.06721283034565118,-0.9731655117355171
16,7123.6495025907025,0.32877541737338595,3623419.7019065376,11020956.891650653,2498.047394048478,442576210674.018,-0.06694600640091586,-0.9727634337349944
17,8327.748747038291,0.3068586402063713,3402486.152179886,11088122.367653118,4416.811998087282,724690533610.5488,-0.06666184881494353,-0.9723287384866338
18,3785.86299350785,0.28628705009580596,3193731.6354230805,11155697.17300974,1563.2665721486885,236045194804.34903,-0.06703930544934422,-0.972904693732729
19,2250.748972746178,0.26705220879608393,2997309.5502366303,11223683.802313427,516.5671736502014,78782353391.10693,-0.0671872559142479,-0.9731272271676689
20,1009.3977706298842,0.2491093769408426,2812964.2002620073,11292084.765359988,477.417452770199,69105700048.06137,-0.0671884794966896,-0.9731290600731227
21,520.4230090813061,0.23245997324438508,2640955.111462059,11360902.58724079,2444.7688275117725,334388515987.4303,-0.06683571650701581,-0.9725955168810193
22,400.2261335705209,0.21692300169736603,2479460.237066485,11430139.808435962,2287.440735276167,324591376411.44073,-0.06683719063619198,-0.9725977679297584
23,314.0037788965486,0.20268958709643523,2330889.5079430463,11499798.984908191,8244.973334314593,1231043466598.8525,-0.06561505460259187,-0.9706678907723938
24,65.50218804984446,0.1890981055588518,2187842.8978762226,11569882.688197076,994.2752007972607,150738988191.1012,-0.06705564766441063,-0.9729293627022697
25,38.363969333333664,0.17641580027391884,2053549.335778589,11640393.505514052,881.8212850457174,142040421349.1923,-0.06706733125354292,-0.9729469858579045
26,9.499791040033564,0.1645772090858681,1927418.6709488472,11711334.039837906,667.1482221862477,114022161567.11356,-0.06710618419477787,-0.9730055095166373
27,2.495895331995801,0.15355056029041977,1809241.2477699695,11782706.910010869,1038.5593862416276,183003909463.60956,-0.0669998528757112,-0.9728450482180421
28,1.3731187805679117,0.14335739615003576,1699432.3673019365,11854514.750835286,3220.145583326894,609147598148.3938,-0.06638311264449337,-0.9718957285924616
29,1.9764945679798915,0.13384852676481482,1596379.2836101332,11926760.213170895,3206.964000964066,568314851268.8666,-0.06632981374235547,-0.9718121764464515
30,2.3774061933971327,0.12486998811620852,1498370.674929846,11999445.964032672,603.2267118123066,124122103275.36859,-0.06707984664173772,-0.9729658511906211
31,1.0642641493146245,0.11648817521900667,1406312.1954476074,12072574.686689297,432.1081115508389,82908188510.53146,-0.06712431885075076,-0.9730327829819911
32,0.4377737570567266,0.10872469435106043,1320586.346348284,12146149.080762202,1758.848450398028,358726194579.2631,-0.06664608535029681,-0.972304425852507
33,0.16398489548135786,0.10142285046598334,1239404.66346123,12220171.86232524,288.62834832580205,62105527066.92776,-0.06715901965656679,-0.9730848956581358
34,0.13348198144262818,0.09480959580269661,1165650.3954226447,12294645.764004942,5144.594552309916,1253809344468.0356,-0.0652047801151554,-0.9699906137735707
35,0.20505670062049433,0.08844385946315904,1094012.8233559504,12369573.535081398,293.93167098442,72871692850.67635,-0.06714232125601483,-0.9730598308189071
36,0.151067448352971,0.08258744749288344,1027797.3105521863,12444957.941589752,2314.7013995792363,589064650864.6705,-0.06621615119266777,-0.9716331828002418
37,0.19093627824825182,0.0770505292866412,964734.4031959513,12520801.766422313,464.3795427246956,116721210479.16019,-0.06704309643083894,-0.9729104182744612
