period_num,Payments,Stablecoins,Lending,AMM
1,65.50406590556929,172.5084118331643,71.8785935015325,239.5956659559645
2,82.87361193159312,218.25202725288537,90.93845674590824,303.12863738185155
3,103.4934132834292,272.5553614710769,113.56487388446578,378.5501393676209
4,99.29293446377952,261.49317899279805,108.95562550552314,363.1859553858397
5,66.65909604600745,175.550244617005,73.14602538990194,243.82044516427257
6,142.01918181916514,374.015004515721,155.8397772455235,519.4666922743039
7,62.06214101930441,163.44392113979936,68.10171772531284,227.0060614192952
8,73.23612335063198,192.87119285462686,80.36309604867753,267.8773829325905
9,167.91283437543257,442.20730399039627,184.253270371965,614.1784760770827
10,78.6731774977627,207.18996166700214,86.32925707219047,287.76461575106
11,156.61373402870504,412.45052738407884,171.854598174635,572.8495076405252
12,129.9440779208626,342.21458163480304,142.58958471784004,475.29931853948847
13,85.6222676803129,225.4907571138882,93.95459790457609,313.18245611041095
14,40.45889465841301,106.55063262958019,44.396151635316095,147.98739094301772
15,36.53449869524968,96.21552891272484,40.08985311360419,133.63304131188934
16,201.20622686723846,529.8872088008748,220.7866090605184,735.956451775677
17,355.753889631705,936.8966285590279,390.37407626405485,1301.2488450046887
18,125.91393154473319,331.60097862879246,138.1672446826568,460.55816329149576
19,41.607109689454326,109.57451746343853,45.65610520197785,152.1872423754401
20,38.45377975666846,101.27005679873616,42.19590899459006,140.65323796243354
21,196.91488340782865,518.5857295021603,216.0776535501987,720.2599101978566
22,184.24282926891797,485.21320668321425,202.17241857450642,673.90905840769
23,664.094676174202,1748.9283498649338,728.7210437298806,2429.0737375775684
24,80.08429387557102,210.90621106132843,87.87769622786152,292.9260872354371
25,71.02664823653267,187.0524236278793,77.93860588333357,259.7957370979807
26,53.73572049397073,141.51585360348702,58.96501165998152,196.55032950071944
27,83.6511813110851,220.29979721787697,91.79169528270859,305.97277004340145
28,259.36791444711605,683.0590801226566,284.60830075434217,948.6957386607485
29,258.3061986215144,680.2629955077455,283.4432640625347,944.8122772790117
30,48.587136864757895,127.95678711216226,53.31539366029382,177.7182416552176
31,34.80432073907435,91.6590140264759,38.19130290488095,127.30453125833381
32,141.66715218414654,373.0879159080792,155.45348984967734,518.1790657175019
33,23.24768580128494,61.22400649384872,25.510034140030935,85.033572870479
34,414.3734266604311,1091.2742705484413,454.69817302180434,1515.662817912496
35,23.67484404677792,62.3489502589833,25.97876128641724,86.5959990020876
36,186.43855038268978,490.99575402480025,204.58181626910235,681.9403959320833
37,37.403636075351535,98.50444803604084,41.04357059018631,136.8121042679649
38,15.253708065179946,40.171444573903855,16.73812253103052,55.7938242710507
39,13.582365357644024,35.76987541754636,14.904133122649208,49.68051720351693
40,41.30290305613526,108.77337325265563,45.32229470281993,151.07453906625344
41,16.313784744525858,42.96321241071213,17.901360563078857,59.6712901113914
42,547.2596191837957,1441.2370661374812,600.5161841987442,2001.723573894989
43,46.93162602186995,123.59691200622777,51.49877679432909,171.6628431480337
44,12.191958817790548,32.108166473580255,13.378419182630973,44.594796549993376
45,500.07449878596077,1316.9725633244568,548.7392442254885,1829.1335187794878
46,44.51706575383263,117.23804021168831,48.84924361510014,162.83105282458712
47,9940.562627237088,26178.995881337785,10907.928391647383,36359.81506985117
48,722.3723021325299,1902.4055510202215,792.669956344431,2642.2370948254575
49,111.60672975406563,293.92220824158164,122.46773767589619,408.22639588726935
50,163.793843364287,431.3597239529655,179.73343978689243,599.1123518489354
51,10.904149908120349,28.71665379905302,11.965287160272556,39.8843495102437
52,8.593376534544396,22.63111026414309,9.429640896224248,31.43218279873933
