period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,stbtc_return_period,stbtc_apy_annualized
24,65.50218804984446,0.1887435261603644,2183740.455832072,11569882.688197076,671.7942884001981,82466333867.81839,-0.06712414559531654,-0.9730325225438277
25,38.363969333333664,0.17607278744795896,2049556.5315069775,11640393.505514052,595.8134148457262,77707519138.03542,-0.06713204405029427,-0.9730443930216297
26,9.499791040033564,0.1642480318073012,1923563.5658812255,11711334.039837906,450.76691525815875,62379280615.862724,-0.067158337253863,-0.9730838717979976
27,2.495895331995801,0.15322923199340216,1805455.1306243183,11782706.910010869,701.7154438550722,100117837316.31128,-0.06708634309132233,-0.9729756386624533
28,1.3731187805679117,0.1430136315073531,1695357.2042744395,11854514.750835286,2175.7310339848636,333252662808.1127,-0.06666874429344471,-0.9723393670820798
29,1.9764945679798915,0.1334842810848969,1592035.0127270687,11926760.213170895,2166.824735470806,310913870586.4331,-0.06663246238849785,-0.9722833977274365
30,2.3774061933971327,0.12452209195844173,1494196.113783629,11999445.964032672,407.5775592924316,67904759955.703705,-0.06714040824593548,-0.9730569578677639
31,1.0642641493146245,0.11615787677937843,1402324.6428662986,12072574.686689297,291.95916892876505,45357438285.42654,-0.06717053213220026,-0.9731021629349557
32,0.4377737570567266,0.10839313111018506,1316559.129794911,12146149.080762202,1188.387623659405,196252041255.58746,-0.06684648415140326,-0.9726119552897072
33,0.16398489548135786,0.1011097604339088,1235578.6494608982,12220171.86232524,195.01529930564362,33976711609.906162,-0.06719402421240583,-0.9731373644252943
34,0.13348198144262818,0.09444970836497718,1161225.7068609688,12294645.764004942,3476.0086881431725,685934417155.6245,-0.06586952674351376,-0.9710804138164113
35,0.20505670062049433,0.08810432727047908,1089812.9549310682,12369573.535081398,198.59855459426603,39866669030.035034,-0.06718264359248172,-0.9731203168866341
36,0.151067448352971,0.0822405922165556,1023480.7112264679,12444957.941589752,1563.9565166086757,322265677585.3533,-0.06655445011142191,-0.9721626776450282
37,0.19093627824825182,0.0767209915233372,960608.3261870716,12520801.766422313,313.7637589695436,63855877157.85509,-0.06711528388176258,-0.9730191982952003
38,0.17844260240696397,0.07156523046117115,901514.9235261685,12597107.809431281,127.95709944116504,27406322409.455406,-0.06720143939482004,-0.9731484662521908
39,0.4316501948854196,0.0667557013891752,846053.6744586659,12673878.887532115,113.93689110135652,24310465887.112526,-0.06720482895119617,-0.9731535395130546
40,0.0629451011972436,0.06227878901827073,794124.1773810866,12751117.834807519,346.47311007786425,63244186104.813324,-0.0670641200338048,-0.9729421432774324
41,0.008309801073476517,0.05809477565590673,745287.855692574,12828827.502612064,136.84964782970826,24192344055.06696,-0.067181996122894,-0.9731193466940944
42,0.005148389812877038,0.05436471618399031,701685.9767335738,12907010.759677451,4590.7364434150095,857945156412.5103,-0.06420645281443949,-0.9682778656140429
43,0.006220906421784294,0.050722888769678016,658670.7199764844,12985670.49221841,393.6901579704605,67876633381.79878,-0.06698880579063449,-0.9728283238583801
44,0.0032526700005757387,0.047314793922724634,618158.7740547509,13064809.604039254,102.27334102399516,17917880220.946045,-0.06719047218364915,-0.9731320448214805
45,0.0033204514138285373,0.04429160972192118,582188.0086057816,13144431.016641064,4194.919825115394,699909817064.6304,-0.06389511504036083,-0.9677243794178847
46,0.0009429565290797148,0.04132633678365797,546521.6975308844,13224537.669329554,373.4354024052082,59220341126.60231,-0.06694886360826058,-0.9727677704089143
47,0.00025001316977264797,0.04168006340639466,554558.7670358898,13305132.519323567,83387.30197007343,13761253021073.045,0.008559351015998251,0.5576717339523243
48,0.00010233511672614022,0.039102684415536236,523437.0791599173,13386218.541864248,6059.684904322639,1193240493351.649,-0.06183721377120055,-0.9638201717184445
49,0.00014566523246463387,0.03650709702818816,491670.2350040797,13467798.73032488,936.2230715588128,190922984973.37494,-0.06637875189757558,-0.9718889017546349
50,0.0001846381116967473,0.034102052385067465,462078.5844479252,13549876.096321382,1373.9993589530804,268092495051.6488,-0.06587882463685613,-0.9710953783164556
51,7.577705835382965e-05,0.03181144274567098,433668.0194006022,13632453.669823492,91.47044037768961,18536926103.043358,-0.06716926047534588,-0.9731002561422631
52,6.360493632801524e-05,0.029674190035823455,406997.3771741303,13715534.499266617,72.08631049365107,14116559863.2894,-0.06718502920268743,-0.9731238912774212
